input,name,quantity,unit,size,preparation,comment,purpose
"1 4-lb. piece untrimmed flat-cut beef brisket, excess fat trimmed",flat-cut beef brisket,1 4,lb piece,,untrimmed excess fat trimmed,,
"1 2"" piece fresh ginger, peeled, finely chopped",fresh ginger,1,piece,"2""",peeled finely chopped,,
"1 1""-piece ginger, peeled, thinly sliced",ginger,1,,"1""-piece",peeled thinly sliced,,
"2 ¾""-thick boneless rib-eye or New York strip steaks (about 1½ lb. total)",boneless rib-eye or New York strip steaks,1#1$2,lb,,,about total,
"1 2-inch piece ginger, peeled, thinly sliced crosswise",ginger,1,piece,2 inch,peeled thinly sliced crosswise,,
"12 1""-thick lamb rib chops",lamb rib chops,12,,"1""-thick",,,
3 8–9-oz. blocks frozen Sanuki udon noodles,frozen Sanuki udon noodles,3 8-9,oz block,,,,
"1 (2"") piece ginger, peeled, finely grated",ginger,1,piece,"2""",peeled finely grated,,
"1 1½""-thick boneless New York strip steak (about 12 oz.)",boneless New York strip steak,1 12,oz,"1#1$2""-thick",,about,
"1 5x2"" piece dried kombu",dried kombu,1,piece,"5x 2""",,,
"12 5""–6"" corn tortillas",corn tortillas,12,,"5""-6""",,,
"4 ¾""-thick slices country-style bread, grilled or toasted",country-style bread,,slice,,grilled or toasted,,
"1 2"" piece galangal or ginger, peeled, thinly sliced, or 1 Tbsp. plus 1½ tsp. very finely chopped galangal paste",galangal or ginger,1,piece,"2""",peeled thinly sliced,or 1 Tbsp plus 1#1$2 tsp very finely chopped galangal paste,
"1 1"" piece ginger, peeled",ginger,1,piece,"1""",peeled,,
"1 2"" piece ginger, scrubbed, coarsely chopped",ginger,1,piece,"2""",scrubbed coarsely chopped,,
"4 1""-thick slices whole grain sourdough bread, toasted",whole grain sourdough bread,4,slice,"1""-thick",toasted,,
"1 2-ounce piece Parmesan cheese, shaved into strips",Parmesan cheese,1 2,ounce piece,,shaved into strip,,
"2 slices ¼""-thick crusty bread, well-toasted, broken into pieces",crusty bread,2,slice,"#1$4""-thick",well-toasted broken into piece,,
"4 cups torn 1½” pieces white country bread, with crusts (about ½ of a 1-lb. loaf)",white country bread,4,cup,,torn 1#1$2” piece,with crusts about #1$2 of a 1 lb loaf,
"1 16x4"" loaf sesame bread or other Italian hoagie bread",sesame bread or other Italian hoagie bread,1,loaf,"16x 4""",,,
"1 2"" piece ginger",ginger,1,piece,"2""",,,
"2 10""–12""-diameter flour tortillas",flour tortillas,2,,"10""-12""-diameter",,,
"4 ½""-thick slices country-style bread (such as sourdough)",country-style bread,,slice,,,such as sourdough,
"1 4"" piece ginger, peeled, finely grated",ginger,1,piece,"4""",peeled finely grated,,
"1 3' piece of ginger, peeled, cut into 1/4' slices",ginger,1,piece,3',peeled cut into #1$4' slice,of,
"1 2"" piece ginger, peeled, halved",ginger,1,piece,"2""",peeled halved,,
"2 large avocados, cut into 2"" pieces (about 6 pieces each)",avocados,2 6,piece,large,"cut into 2"" piece",about each,
"6 cups 1"" pieces mixed vegetables (such as zucchini, carrots, cauliflower, eggplant, okra, and/or mushrooms)",mixed vegetables,6,cup,"1"" piece",,such as zucchini carrots cauliflower eggplant okra and/or mushrooms,
"1 2x2"" piece dried kombu",dried kombu,1,piece,"2x 2""",,,
"1 2"" piece ginger, peeled, halved, divided",ginger,1,piece,"2""",peeled halved divided,,
"8–12 8"" rice paper rounds",rice paper rounds,8-12,,"8""",,,
"4 medium Chinese or Japanese eggplants, halved lengthwise, sliced crosswise on a diagonal 2"" thick, or 1–2 medium globe eggplants, cut into 1½"" pieces (about 2 lb. total)",Chinese or Japanese eggplants,4,,medium,"halved lengthwise sliced crosswise on a diagonal 2"" thick","or 1-2 medium globe eggplants cut into 1#1$2"" piece about 2 lb total",
"3 cups torn 1"" pieces country bread, with crusts",country bread,3,cup,,"torn 1"" piece",with crusts,
"1 2"" piece ginger, scrubbed, sliced ¼"" thick",ginger,1,piece,"2""","scrubbed sliced #1$4"" thick",,
"1 kohlrabi or ½ fennel bulb, 4-inch piece daikon, 1 watermelon radish, or 1 medium beet, trimmed",kohlrabi,1,,,trimmed,or #1$2 fennel bulb 4 inch piece daikon 1 watermelon radish or 1 medium beet,
"1 1-inch piece ginger, peeled, sliced",ginger,1,piece,1 inch,peeled sliced,,
"1 5x3"" piece dried kombu",dried kombu,1,piece,"5x 3""",,,
"1 1” piece ginger, peeled",ginger,1,piece,1”,peeled,,
"1 4"" piece ginger, scrubbed, unpeeled, thinly sliced",ginger,1,piece,"4""",scrubbed unpeeled thinly sliced,,
"1 5"" piece ginger, peeled, coarsely chopped",ginger,1,piece,"5""",peeled coarsely chopped,,
"1 1½-inch piece ginger, peeled, cut into very thin matchsticks",ginger,1,piece,1#1$2 inch,peeled cut into very thin matchsticks,,
"1 2"" piece ginger, peeled, chopped",ginger,1,piece,"2""",peeled chopped,,
"12 1""–1¼""-thick lamb rib chops (about 2¼ lb. total), frenched",lamb rib chops,12 2#1$4,lb,"1""-1#1$4""-thick",frenched,about total,
"6 1¼""-thick lamb loin chops",lamb loin chops,6,,"1#1$4""-thick",,,
"4 10""-diameter flour tortillas",flour tortillas,4,,"10""-diameter",,,
"1 3"" daikon, peeled, thinly sliced",daikon,1,,"3""",peeled thinly sliced,,
"1½–1¾ lb. skinless, boneless chicken pieces (such as tenders or thighs), cut into 3""x1"" pieces",skinless boneless chicken piece,,lb,,"cut into 3""x 1"" piece",such as tenders or thighs,
"1 3-inch piece ginger, peeled, cut into very thin matchsticks",ginger,1,piece,3 inch,peeled cut into very thin matchsticks,,
1 14-oz. block firm or extra-firm tofu,firm or extra-firm tofu,1 14,oz block,,,,
"2 cups 1""-cubes peeled kabocha or butternut squash",kabocha or butternut squash,2,cup,,"1""-cubes peeled",,
"1 5” piece ginger, peeled, cut into matchsticks, divided",ginger,1,piece,5”,peeled cut into matchsticks divided,,
"4 ½""-thick slices country-style bread",country-style bread,,slice,,,,
"1 1""-piece ginger, peeled, finely grated",ginger,1,,"1""-piece",peeled finely grated,,
2 cups 3x1/4x1/4-inch pieces peeled jicama (from one 1-pound jicama),jicama,2,cup piece,3x #1$4x #1$4 inch,peeled,from one 1 pound jicama,
"6 Tbsp. unsalted butter, cut into pieces, room temperature, plus more for bowl",unsalted butter,6,Tbsp,,cut into piece room temperature,plus more for bowl,
"1 ¾-inch piece ginger, peeled, finely grated",ginger,,piece,inch,peeled finely grated,,
"1 3-lb. chicken, cut into 10 pieces (2 wings, 4 breasts, 2 thighs, and 2 drumsticks)",chicken,1 3,lb,,cut into 10 piece,2 wings 4 breasts 2 thighs and 2 drumsticks,
"Six ¾""-thick slices challah, brioche, or Pullman loaf",challah brioche or Pullman loaf,Six,slice,"#3$4""-thick",,,
"4 cups 1"" cubes peeled butternut squash",butternut squash,4,cup,,"1"" cube peeled",,
"1 1"" piece ginger, peeled, thinly sliced",ginger,1,piece,"1""",peeled thinly sliced,,
"1 5"" piece ginger",ginger,1,piece,"5""",,,
"1 2-inch piece ginger, peeled, thinly sliced",ginger,1,piece,2 inch,peeled thinly sliced,,
1 2-lb. piece trimmed center-cut beef tenderloin,center-cut beef tenderloin,1 2,lb piece,,trimmed,,
"1 1"" piece fresh ginger, peeled, chopped",fresh ginger,1,piece,"1""",peeled chopped,,
"1 3"" piece ginger, peeled, finely chopped",ginger,1,piece,"3""",peeled finely chopped,,
"1 4x4-inch piece kombu, broken into bite-size pieces",kombu,1,piece,4x 4 inch,broken into bite-size piece,,
"1 ½"" piece peeled ginger, thinly sliced",ginger,,piece,,peeled thinly sliced,,
"8 ½""-thick slices white sandwich or Pullman bread",white sandwich or Pullman bread,,slice,,,,
"2 6-oz. blocks feta, drained, patted dry",feta,2 6,oz block,,drained patted dry,,
"1 1"" piece ginger, scrubbed, finely grated",ginger,1,piece,"1""",scrubbed finely grated,,
"1 1"" piece ginger, peeled, cut into thin matchsticks",ginger,1,piece,"1""",peeled cut into thin matchsticks,,
"1 ½"" piece ginger, scrubbed, cut into matchsticks",ginger,,piece,,scrubbed cut into matchsticks,,
"1 1-inch piece ginger, peeled, cut into very thin matchsticks",ginger,1,piece,1 inch,peeled cut into very thin matchsticks,,
"6 ⅓""–¼"" bone-in pork rib chops (2–3 lb.)",bone-in pork rib chops,2-3,lb,,,,
"1 1” piece ginger, peeled, finely chopped",ginger,1,piece,1”,peeled finely chopped,,
"1 3"" piece ginger, finely chopped",ginger,1,piece,"3""",finely chopped,,
"2 14-oz. blocks extra-firm tofu, drained",extra-firm tofu,2 14,oz block,,drained,,
"1 2"" piece ginger, peeled, finely chopped, divided",ginger,1,piece,"2""",peeled finely chopped divided,,
"2 1½""-thick bone-in pork rib chops (about 1½ lb.)",bone-in pork rib chops,2 1#1$2,lb,"1#1$2""-thick",,about,
"2 10"" whole wheat tortillas",whole wheat tortillas,2,,"10""",,,
"1 baguette, sliced on a diagonal 1"" thick, drizzled with extra-virgin olive oil, toasted",baguette,1,,,"sliced on a diagonal 1"" thick drizzled with extra-virgin olive oil toasted",,
"2 lb. ¼""-thick skirt or flank steak, cut into 5""-long pieces",skirt or flank steak,2,lb,"#1$4""-thick","cut into 5""-long piece",,
"1 1-inch piece ginger, peeled, finely chopped",ginger,1,piece,1 inch,peeled finely chopped,,
"10 oz. oyster mushrooms, torn into bite-size pieces no larger than 2"" (leave smaller pieces intact)",oyster mushrooms,10,oz,,"torn into bite-size piece no larger than 2"" leave smaller piece intact",,
"2 1""-thick boneless New York strip steaks (about 2 lb. total)",boneless New York strip steaks,2 2,lb,"1""-thick",,about total,
"1 1½""–2""-thick bone-in rib-eye steak (about 1¾ lb.)",bone-in rib-eye steak,1 1#3$4,lb,"1#1$2""-2""-thick",,about,
"6 6""-diameter corn tortillas",corn tortillas,6,,"6""-diameter",,,
"6 ¾""-thick slices Texas toast, Pullman, or other white sandwich bread",Texas toast Pullman or other white sandwich bread,,slice,,,,
"3 large fennel bulbs sliced into ¾""-thick wedges (reserve stems and fronds for another use)",fennel,3,large bulb,,"sliced into #3$4""-thick wedge reserve stem and fronds for another use",,
"4 1""–1½""-thick bone-in pork chops",bone-in pork chops,4,,"1""-1#1$2""-thick",,,
"1 3"" piece of ginger, peeled, finely grated",ginger,1,piece,"3""",peeled finely grated,of,
"1 1"" piece fresh ginger, peeled, finely grated",fresh ginger,1,piece,"1""",peeled finely grated,,
"12 8"" rice paper rounds",rice paper rounds,12,,"8""",,,
"1 16-oz. block extra-firm tofu, drained, blotted dry, cut into 1"" cubes",extra-firm tofu,1 16,oz block,,"drained blotted dry cut into 1"" cube",,
"1 2"" piece ginger, finely grated",ginger,1,piece,"2""",finely grated,,
"1 1"" piece ginger",ginger,1,piece,"1""",,,
"1 lb. cylindrical rice cakes (about 2½"" long), cut in half crosswise on a diagonal",cylindrical rice cakes,1,lb,,cut in half crosswise on a diagonal,"about 2#1$2"" long",
"1 1-inch piece ginger, peeled, cut into thin matchsticks",ginger,1,piece,1 inch,peeled cut into thin matchsticks,,
"1 lb. 1½""-thick boneless beef short ribs",boneless beef short rib,1,lb,"1#1$2""-thick",,,
"1 2"" piece ginger, peeled, half left whole, half finely chopped",ginger,1,piece,"2""",peeled half left whole half finely chopped,,
"1 1"" piece ginger, scrubbed",ginger,1,piece,"1""",scrubbed,,
"1¼"" piece fresh galangal, cut into thin coins",fresh galangal,,piece,,cut into thin coins,,
"1 2-inch piece peeled fresh ginger, quartered lengthwise",fresh ginger,1,piece,2 inch,peeled quartered lengthwise,,
"1 1½"" piece ginger, peeled, finely grated",ginger,1,piece,"1#1$2""",peeled finely grated,,
"4 cups 1½""–2"" chunks seeded peeled butternut squash (from a 3½-lb. squash)",butternut squash,4,cup,"1#1$2""-2"" chunk",seeded peeled,from a 3#1$2 lb squash,
"1 4"" piece ginger, peeled, finely grated, divided",ginger,1,piece,"4""",peeled finely grated divided,,
"1 2"" piece ginger, peeled, thinly sliced",ginger,1,piece,"2""",peeled thinly sliced,,
"1 1/2-inch piece ginger, grated",ginger,,piece,inch,grated,,
"1 1"" piece peeled ginger, finely chopped",ginger,1,piece,"1""",peeled finely chopped,,
"14–16 oz. block firm tofu, drained",firm tofu,14-16,oz block,,drained,,
"1 1"" piece ginger, peeled, finely grated, plus 3 peeled slices",ginger,1,piece,"1""",peeled finely grated,plus 3 peeled slice,
"1 (2""–3"") piece fresh horseradish, peeled, or 1 oz. Parmesan, finely grated (for serving)",fresh horseradish,1,piece,"2""-3""",peeled finely grated,or 1 oz Parmesan,for serving
"1 3"" cinnamon stick",cinnamon stick,1,,"3""",,,
"2 cups 1"" pieces peeled butternut squash",butternut squash,2,cup,"1"" piece",peeled,,
"1 4"" piece ginger, finely chopped",ginger,1,piece,"4""",finely chopped,,
"1 4""-long Ceylon cinnamon stick, broken into small pieces",Ceylon cinnamon stick,1,,"4""-long",broken into small piece,,
3 cups 1-inch pieces chilled seedless watermelon (about 1 pound),seedless watermelon,3 1,cup pound,1 inch piece,chilled,about,
"2 14-oz. blocks extra-firm tofu, drained, each sliced crosswise into 4 pieces",extra-firm tofu,2 14,oz block,,drained each sliced crosswise into 4 piece,,
"Six to eight 8""–12"" metal skewers, or bamboo, soaked 30 minutes","8""-12"" metal skewers or bamboo",Six eight,,,soaked 30 minutes,to,
"3 cups 2"" matchsticks crunchy vegetables (such as carrots, cucumber, and/or bean sprouts)",crunchy vegetables,3,cup,"2"" matchsticks",,such as carrots cucumber and/or bean sprouts,
"4 1""-thick slices crusty bread",crusty bread,4,slice,"1""-thick",,,
"1 2"" piece ginger, peeled, finely chopped",ginger,1,piece,"2""",peeled finely chopped,,
"1 3"" piece ginger, peeled, thinly sliced",ginger,1,piece,"3""",peeled thinly sliced,,
"1 ½"" piece ginger, peeled",ginger,,piece,,peeled,,
"1 1” piece ginger, peeled, crushed",ginger,1,piece,1”,peeled crushed,,
"1 12x4"" ciabatta loaf or focaccia",or focaccia,1,ciabatta loaf,"12x 4""",,,
"2 2"" cinnamon sticks",cinnamon stick,2,,"2""",,,
"1 12"" flour tortilla",flour tortilla,1,,"12""",,,
"2 1""-thick slices sourdough bread",sourdough bread,2,slice,"1""-thick",,,
"1 3"" piece ginger",ginger,1,piece,"3""",,,
"1 3"" piece ginger, peeled, thinly sliced, divided",ginger,1,piece,"3""",peeled thinly sliced divided,,
"2 1½""-thick New York strip steaks (about 1½ lb. total)",New York strip steaks,2 1#1$2,lb,"1#1$2""-thick",,about total,
"4 cups ¼""–½"" pieces torn country-style or multigrain bread",country-style or multigrain bread,4,cup,"#1$4""-#1$2"" piece",torn,,
"1 2"" piece ginger, peeled, finely grated",ginger,1,piece,"2""",peeled finely grated,,
"1 1 ½” piece fresh turmeric, thinly sliced (or 1 tsp ground turmeric)",fresh turmeric,1,piece,1#1$2”,thinly sliced,or 1 tsp ground turmeric,
"1 1” piece ginger, peeled, sliced",ginger,1,piece,1”,peeled sliced,,
"1 (1"") piece ginger",ginger,1,piece,"1""",,,
"3 lb. 2""–3"" sections mixed soup beef bones (oxtail, marrow, knuckles, and/or neck bone), rinsed under cold running water to remove blood and excess bits",mixed soup beef bones,3,lb,"2""-3"" section",rinsed under cold running water to remove blood and excess bits,oxtail marrow knuckles and/or neck bone,
"4 1""-thick slices country-style sourdough bread",country-style sourdough bread,4,slice,"1""-thick",,,
"1 piece matzo, finely crushed (about ¼ cup)",matzo,1 #1$4,piece cup,,finely crushed,about,
"1 2” piece ginger, scrubbed, thinly sliced",ginger,1,piece,2”,scrubbed thinly sliced,,
"1 2-inch piece of ginger, peeled, sliced",ginger,1,piece,2 inch,peeled sliced,of,
"2 1""-thick bone-in pork rib chops (about 2 lb. total)",bone-in pork rib chops,2 2,lb,"1""-thick",,about total,
"8 cups matchstick-size pieces mixed summer vegetables (such as carrots, radishes, cucumbers, and bell peppers; about 1 1/4 pounds)",mixed summer vegetables,8 1#1$4,cup pound,matchstick-size piece,,such as carrots radishes cucumbers and bell peppers about,
"1 4-inch piece daikon, peeled, thinly sliced",daikon,1,piece,4 inch,peeled thinly sliced,,
"1 2"" piece ginger, peeled, cut into two 1"" pieces",ginger,1,piece,"2""","peeled cut into two 1"" piece",,
"1 1-inch piece peeled fresh ginger, crushed, plus more cut into thin matchsticks",fresh ginger,1,piece,1 inch,peeled crushed,plus more cut into thin matchsticks,
"1 2"" piece ginger, peeled, finely chopped (about 1 Tbsp.)",ginger,1 1,piece Tbsp,"2""",peeled finely chopped,about,
"2 3x1"" strips lemon zest",lemon zest,2,strip,"3x 1""",,,
"1 2"" piece ginger, peeled, sliced into matchsticks",ginger,1,piece,"2""",peeled sliced into matchsticks,,
"4 ½""-thick slices Pullman or other white sandwich bread, divided",Pullman or other white sandwich bread,,slice,,divided,,
"1 1½"" piece ginger, peeled",ginger,1,piece,"1#1$2""",peeled,,
"1 8-oz. block tempeh, torn into 1½"" pieces",tempeh,1 8,oz block,,"torn into 1#1$2"" piece",,
"1 4-inch piece ginger, unpeeled, thinly sliced",ginger,1,piece,4 inch,unpeeled thinly sliced,,
"16 ½""-thick slices sourdough bread",sourdough bread,,slice,,,,
"1 3-pound whole organic chicken, cut into 7 pieces (2 breasts, 2 legs with thighs attached, 2 wings, 1 back)",whole organic chicken,1 3,pound,,cut into 7 piece,2 breasts 2 legs with thighs attached 2 wings 1 back,
"4 ½""-thick slices country-style bread, toasted",country-style bread,,slice,,toasted,,
"3 lb. skin-on, bone-in chicken pieces (such as thighs and drumsticks)",skin-on bone-in chicken piece,3,lb,,,such as thighs and drumsticks,
"2½ lb. ¼""–½""-thick crosscut bone-in beef short ribs (flanken-style; about 12 three-bone strips)",crosscut bone-in beef short rib,2#1$2,lb,"#1$4""-#1$2""-thick",,flanken-style about 12 three-bone strip,
"2½ oz. fennel salami, sliced ⅛"" thick, slices cut into quarters (about ½ cup)",fennel salami,2#1$2 #1$2,oz cup,,"sliced #1$8"" thick slice cut into quarters",about,
"1 1"" piece ginger, peeled, finely chopped",ginger,1,piece,"1""",peeled finely chopped,,
"1 2"" piece turmeric, peeled, finely grated, or ½ tsp. ground turmeric",turmeric,1,piece,"2""",peeled finely grated,or #1$2 tsp ground turmeric,
"1 sandwich-size piece focaccia, split lengthwise, toasted",focaccia,1,piece,sandwich-size,split lengthwise toasted,,
"3 3x2"" strips orange zest",orange zest,3,strip,"3x 2""",,,
"1 4-inch piece daikon, peeled, coarsely grated",daikon,1,piece,4 inch,peeled coarsely grated,,
"1 3"" piece ginger, peeled, cut into matchsticks",ginger,1,piece,"3""",peeled cut into matchsticks,,
"1 4x3"" piece dried kombu",dried kombu,1,piece,"4x 3""",,,
"1 2"" piece ginger, peeled, coarsely chopped",ginger,1,piece,"2""",peeled coarsely chopped,,
"2 1½""-thick bone-in rib-eye steaks (1–1½ lb. each)",bone-in rib-eye steaks,2 1-1#1$2,lb,"1#1$2""-thick",,each,
"2 2x1"" strips orange zest",orange zest,2 2x,"1"" strip",,,,
"4 6-oz. blocks paneer, cut into 4 cubes each",paneer,4 6,oz block,,cut into 4 cube each,,
"1 2"" piece ginger, scrubbed, thinly sliced",ginger,1,piece,"2""",scrubbed thinly sliced,,
